AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
482010551,551,HOUSTON,12,Sheldon,15345 Beaumont Hwy,Houston,,29.8586111,-95.1602778,40.0m,15,R,307085,3320469,1,17-Apr-02,Active,Harris County Health and Environmental Services
482010552,552,HOUSTON,12,Baytown Wetlands Center,1724 Market Street,Baytown,,29.7330556,-94.9847222,0m,15,R,307085,3320469,1,11-Jun-03,Active,Harris County Health and Environmental Services
482010553,553,HOUSTON,12,Crosby Library,1800 N. 18th Street,Nederland,77627,29.9208333,-95.0683333,12.0m,15,R,307085,3320469,1,16-Jun-03,Active,Harris County Health and Environmental Services
482010554,554,HOUSTON,12,West Houston,16719 Clay Road,Houston,,29.8330556,-95.6569444,12.0m,15,R,210590,3322576,1,24-Dec-03,Active,Harris County Health and Environmental Services
482010556,556,HOUSTON,12,La Porte Sylvan Beach,636 Bayshore Drive,La Porte,,29.6552778,-95.0097222,12.0m,15,R,307085,3320469,7,1-Jan-04,Active,Harris County Health and Environmental Services
482010557,557,HOUSTON,12,Mercer Arboretum,22306 Aldine Westfield Road,Houston,,30.0380556,-95.3811111,12.0m,15,R,307085,3320469,1,12-Feb-04,Active,Harris County Health and Environmental Services
482010558,558,HOUSTON,12,Tom Bass,15108 Cullen Blvd,Houston,,29.5894444,-95.3536111,12.0m,15,R,307085,3320469,1,6-Feb-04,Active,Harris County Health and Environmental Services
482010559,559,HOUSTON,12,Katy Park,24927 Morton Road,Houston,,29.8105556,-95.8061111,12.0m,15,R,210590,3322576,8,12-Mar-04,Active,Harris County Health and Environmental Services
482010560,560,HOUSTON,12,Atascocita,2302 Atascocita Rd,Houston,,29.961944,-95.235,12.0m,15,R,307085,3320469,9,29-Jul-04,Active,Harris County Health and Environmental Services
482010561,561,HOUSTON,12,Meyer Park,7700 Cypresswood Dr,Houston,,30.011667,-95.5225,12.0m,15,R,210590,3322576,1,30-Jul-04,Active,Harris County Health and Environmental Services
482010562,562,HOUSTON,12,Bunker Hill Village,11977 Memorial Drive,Houston,,29.778333,-95.538056,12.0m,15,R,210590,3322576,1,8-Oct-04,Active,Harris County Health and Environmental Services
482010563,563,HOUSTON,12,Huffman Wolf Road,2100 Wolf Road,Huffman,,30.05786,-95.06147,22.9m,15,R,307085,3320469,1,21-Sep-10,Active,Harris County Health and Environmental Services
482010570,570,HOUSTON,12,Clear Brook High School,4607 FM 2351,Friendswood,,29.5488889,-95.1852778,14.0m,15,R,307085,3320469,1,12-Sep-03,Active,University of Houston
482010572,572,HOUSTON,12,Clear Lake High School,2929 Bay Area Blvd,Houston,,29.583333,-95.105,6.0m,15,R,307085,3320469,1,12-Sep-03,Active,University of Houston
482010617,617,HOUSTON,12,Wallisville Road,4727 Wallisville Road,Baytown,,29.821389,-94.99,12.0m,15,R,307085,3320469,60,30-May-03,Active,Houston Regional Monitoring
482010669,669,HOUSTON,12,TPC FTIR South,8600 Park Place Blvd,Houston,,29.694722,-95.252778,7.0m,15,R,307085,3320469,6,13-Jan-06,Active,Texas Petrochemicals
482010670,670,HOUSTON,12,TPC FTIR North,8600 Park Place Blvd,Houston,77017,29.701944,-95.257222,10.0m,15,R,307085,3320469,4,1-Jan-06,Active,Texas Petrochemicals
482010671,671,HOUSTON,12,Goodyear GC,9728 West Road,Houston,77017,29.706111,-95.255,3.0m,15,R,307085,3320469,12,4-May-06,Active,Goodyear Tire & Rubber Co
482010673,673,HOUSTON,12,Goodyear Houston Site #2,2000 Goodyear Dr,Houston,,29.7023,-95.256697,5.0m,15,R,307085,3320469,12,1-Oct-06,Active,Goodyear Tire & Rubber Co
482010695,695,HOUSTON,12,UH Moody Tower,4401 Wheeler Street,Houston,77004,29.7176,-95.3414,18.0m,15,R,307085,3320469,11,31-Mar-10,Active,University of Houston
482010803,"0114, 0603 ",HOUSTON,12,HRM #3 Haden Rd,1504 1/2 Haden Road,Houston,,29.7647877,-95.1785379,,15,R,307085,3320469,145,14-Nov-92,Active,Houston Regional Monitoring
482011015,"0165, 1015 ",HOUSTON,12,Lynchburg Ferry,4407 Independence Parkway South,La Porte,77571,29.7616528,-95.0813861,,15,R,307085,3320469,146,24-Apr-03,Active,TCEQ
482011017,1017,HOUSTON,12,Baytown Garth,8622 Garth Road Unit A,Baytown,77521,29.823319,-94.983786,,15,R,307085,3320469,10,20-Feb-14,Active,TCEQ
482011034,1,HOUSTON,12,Houston East,1262 1/2 Mae Drive,Houston,,29.7679965,-95.2205822,,15,R,307085,3320469,14,1-Jan-73,Active,TCEQ
482011035,"0055, 0113, 0304, 0403 ",HOUSTON,12,Clinton,9525 1/2 Clinton Dr,Houston,,29.7337263,-95.2575931,,15,R,307085,3320469,141,1-Jan-72,Active,City of Houston Health Department
